Coverage,BFS,DFS,Dijstra
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,132,292,106
12,71,2875,57
17,134,134,106
21,124,806,79
27,65,1219,54
11,191,1095,111
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,1460,32
11,52,780,31
19,85,479,64
21,93,3059,64
20,130,2498,80
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,60,1872,39
20,146,4618,76
22,56,2020,31
28,107,437,57
18,57,4031,39
27,49,2319,29
14,130,1454,74
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1194,98
14,126,1342,98
22,56,634,44
10,60,2626,48
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,31,3395,28
18,63,2851,52
11,58,3184,40
10,29,3607,28
17,140,4172,88
22,145,2701,99
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,81,443,63
22,91,3329,72
24,83,419,65
20,119,3793,86
17,3,5037,3
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,66,5610,55
17,147,377,108
11,60,5198,55
20,33,3467,27
22,53,1255,37
13,111,3911,86
23,54,1216,46
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,92,1912,49
21,117,711,82
23,82,2146,49
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,75,2251,58
23,63,1567,50
29,87,2375,57
29,57,2415,50
29,57,2415,50
29,57,2415,50
29,57,2415,50
29,57,2415,50
29,57,2415,50
29,57,2415,50
29,57,2415,50
